dataset,scene,scene_path,scene_path_exists,transforms_train_exists,transforms_test_exists,gt_depth_available,gt_depth_file_count,gt_normal_available,gt_normal_file_count,gt_mesh_available,gt_mesh_path,gt_point_cloud_available,gt_point_cloud_path,initialization_point_cloud_available,initialization_point_cloud_path,model_output_count,rendered_depth_available,rendered_depth_file_count,rendered_normal_available,rendered_normal_file_count,final_point_cloud_available,final_point_cloud_count,reflective_mask_available,reflective_region_metrics_available,reflection_consistency_json_count,rc_valid_correspondence_fields_available,rc_valid_correspondence_field_count,confidence_fields_available,pair_angle_fields_available,normal_stability_fields_available
shiny_blender_synthetic,ball,/data/liuly/dataset/3DGS/Shiny Blender Synthetic/ball,True,True,True,False,0,True,600,False,,False,,True,/data/liuly/dataset/3DGS/Shiny Blender Synthetic/ball/points3d.ply,2,False,0,False,0,True,2,False,True,4,True,4,False,True,False
shiny_blender_synthetic,car,/data/liuly/dataset/3DGS/Shiny Blender Synthetic/car,True,True,True,False,0,True,600,False,,False,,True,/data/liuly/dataset/3DGS/Shiny Blender Synthetic/car/points3d.ply,2,False,0,False,0,True,2,False,True,4,True,4,False,True,False
shiny_blender_synthetic,coffee,/data/liuly/dataset/3DGS/Shiny Blender Synthetic/coffee,True,True,True,False,0,True,600,False,,False,,True,/data/liuly/dataset/3DGS/Shiny Blender Synthetic/coffee/points3d.ply,3,False,0,False,0,True,3,False,True,6,True,6,False,True,False
shiny_blender_synthetic,helmet,/data/liuly/dataset/3DGS/Shiny Blender Synthetic/helmet,True,True,True,False,0,True,600,False,,False,,True,/data/liuly/dataset/3DGS/Shiny Blender Synthetic/helmet/points3d.ply,6,False,0,False,0,True,6,False,True,12,True,12,False,True,False
shiny_blender_synthetic,teapot,/data/liuly/dataset/3DGS/Shiny Blender Synthetic/teapot,True,True,True,False,0,True,600,False,,False,,True,/data/liuly/dataset/3DGS/Shiny Blender Synthetic/teapot/points3d.ply,2,False,0,False,0,True,2,False,True,4,True,4,False,True,False
shiny_blender_synthetic,toaster,/data/liuly/dataset/3DGS/Shiny Blender Synthetic/toaster,True,True,True,False,0,True,600,False,,False,,True,/data/liuly/dataset/3DGS/Shiny Blender Synthetic/toaster/points3d.ply,2,False,0,False,0,True,2,False,True,4,True,4,False,True,False
glossy_synthetic,angel,/data/liuly/dataset/3DGS/GlossySyntheticConverted/angel_blender,True,True,True,False,0,False,0,False,,False,,True,/data/liuly/dataset/3DGS/GlossySyntheticConverted/angel_blender/points3d.ply,2,False,0,False,0,True,2,False,True,4,True,4,False,True,False
glossy_synthetic,bell,/data/liuly/dataset/3DGS/GlossySyntheticConverted/bell_blender,True,True,True,False,0,False,0,False,,False,,True,/data/liuly/dataset/3DGS/GlossySyntheticConverted/bell_blender/points3d.ply,2,False,0,False,0,True,2,False,True,4,True,4,False,True,False
glossy_synthetic,cat,/data/liuly/dataset/3DGS/GlossySyntheticConverted/cat_blender,True,True,True,False,0,False,0,False,,False,,True,/data/liuly/dataset/3DGS/GlossySyntheticConverted/cat_blender/points3d.ply,2,False,0,False,0,True,2,False,True,4,True,4,False,True,False
glossy_synthetic,horse,/data/liuly/dataset/3DGS/GlossySyntheticConverted/horse_blender,True,True,True,False,0,False,0,False,,False,,True,/data/liuly/dataset/3DGS/GlossySyntheticConverted/horse_blender/points3d.ply,2,False,0,False,0,True,2,False,True,4,True,4,False,True,False
glossy_synthetic,luyu,/data/liuly/dataset/3DGS/GlossySyntheticConverted/luyu_blender,True,True,True,False,0,False,0,False,,False,,True,/data/liuly/dataset/3DGS/GlossySyntheticConverted/luyu_blender/points3d.ply,6,False,0,False,0,True,6,False,True,12,True,12,False,True,False
glossy_synthetic,potion,/data/liuly/dataset/3DGS/GlossySyntheticConverted/potion_blender,True,True,True,False,0,False,0,False,,False,,True,/data/liuly/dataset/3DGS/GlossySyntheticConverted/potion_blender/points3d.ply,2,False,0,False,0,True,2,False,True,4,True,4,False,True,False
glossy_synthetic,tbell,/data/liuly/dataset/3DGS/GlossySyntheticConverted/tbell_blender,True,True,True,False,0,False,0,False,,False,,True,/data/liuly/dataset/3DGS/GlossySyntheticConverted/tbell_blender/points3d.ply,2,False,0,False,0,True,2,False,True,4,True,4,False,True,False
glossy_synthetic,teapot,/data/liuly/dataset/3DGS/GlossySyntheticConverted/teapot_blender,True,True,True,False,0,False,0,False,,False,,True,/data/liuly/dataset/3DGS/GlossySyntheticConverted/teapot_blender/points3d.ply,3,False,0,False,0,True,3,False,True,6,True,6,False,True,False
