dataset,scene,variant,seed,job_root,complete,has_point_cloud,has_reflection_consistency_train_json,has_reflection_consistency_test_json,has_launcher_summary_json,missing_artifacts
shiny_blender_synthetic,ball,base,0,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/shiny_blender_synthetic/ball/base/seed_0,True,True,True,True,True,
shiny_blender_synthetic,ball,rc,0,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/shiny_blender_synthetic/ball/rc/seed_0,True,True,True,True,True,
shiny_blender_synthetic,car,base,0,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/shiny_blender_synthetic/car/base/seed_0,True,True,True,True,True,
shiny_blender_synthetic,car,rc,0,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/shiny_blender_synthetic/car/rc/seed_0,True,True,True,True,True,
shiny_blender_synthetic,coffee,base,0,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/shiny_blender_synthetic/coffee/base/seed_0,True,True,True,True,True,
shiny_blender_synthetic,coffee,rc,0,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/shiny_blender_synthetic/coffee/rc/seed_0,True,True,True,True,True,
shiny_blender_synthetic,helmet,base,0,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/shiny_blender_synthetic/helmet/base/seed_0,True,True,True,True,True,
shiny_blender_synthetic,helmet,rc,0,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/shiny_blender_synthetic/helmet/rc/seed_0,True,True,True,True,True,
shiny_blender_synthetic,teapot,base,0,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/shiny_blender_synthetic/teapot/base/seed_0,True,True,True,True,True,
shiny_blender_synthetic,teapot,rc,0,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/shiny_blender_synthetic/teapot/rc/seed_0,True,True,True,True,True,
shiny_blender_synthetic,toaster,base,0,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/shiny_blender_synthetic/toaster/base/seed_0,True,True,True,True,True,
shiny_blender_synthetic,toaster,rc,0,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/shiny_blender_synthetic/toaster/rc/seed_0,True,True,True,True,True,
shiny_blender_real,gardenspheres,base,0,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/shiny_blender_real/gardenspheres/base/seed_0,False,False,False,False,False,point_cloud/iteration_31000/point_cloud.ply;reflection_consistency_train.json;reflection_consistency_test.json;launcher_summary.json
shiny_blender_real,gardenspheres,rc,0,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/shiny_blender_real/gardenspheres/rc/seed_0,False,False,False,False,False,point_cloud/iteration_31000/point_cloud.ply;reflection_consistency_train.json;reflection_consistency_test.json;launcher_summary.json
shiny_blender_real,sedan,base,0,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/shiny_blender_real/sedan/base/seed_0,False,False,False,False,False,point_cloud/iteration_31000/point_cloud.ply;reflection_consistency_train.json;reflection_consistency_test.json;launcher_summary.json
shiny_blender_real,sedan,rc,0,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/shiny_blender_real/sedan/rc/seed_0,False,False,False,False,False,point_cloud/iteration_31000/point_cloud.ply;reflection_consistency_train.json;reflection_consistency_test.json;launcher_summary.json
shiny_blender_real,toycar,base,0,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/shiny_blender_real/toycar/base/seed_0,False,False,False,False,False,point_cloud/iteration_31000/point_cloud.ply;reflection_consistency_train.json;reflection_consistency_test.json;launcher_summary.json
shiny_blender_real,toycar,rc,0,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/shiny_blender_real/toycar/rc/seed_0,False,False,False,False,False,point_cloud/iteration_31000/point_cloud.ply;reflection_consistency_train.json;reflection_consistency_test.json;launcher_summary.json
